companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
VictoryShares US Discovery Enhanced Volatility Wtd ETF,CSF,12/16/2022,12/20/2022,12/19/2022,0.281,0.797,12/15/2022
VictoryShares US EQ Income Enhanced Volatility Wtd ETF,CDC,12/16/2022,12/20/2022,12/19/2022,0.516,2.161,12/15/2022
VictoryShares US Large Cap High Div Volatility Wtd ETF,CDL,12/16/2022,12/20/2022,12/19/2022,0.45,1.948,N/A
VictoryShares US Small Cap High Div Volatility Wtd ETF,CSB,12/16/2022,12/20/2022,12/19/2022,0.508,1.857,12/15/2022
VictoryShares US Small Cap Volatility Wtd ETF,CSA,12/16/2022,12/20/2022,12/19/2022,0.215,0.824,12/15/2022
Vertical Capital Income Fund,VCIF,12/16/2022,12/30/2022,12/19/2022,0.068,0.867,12/09/2022
VictoryShares Emerging Markets Value Momentum ETF,UEVM,12/16/2022,12/20/2022,12/19/2022,0.073,1.382,12/15/2022
VictoryShares International Value Momentum ETF,UIVM,12/16/2022,12/20/2022,12/19/2022,0.106,1.254,12/15/2022
VictoryShares USAA Core Intermediate-Term Bond ETF,UITB,12/16/2022,12/20/2022,12/19/2022,0.214,1.055,12/15/2022
VictoryShares USAA Core Short-Term Bond ETF,USTB,12/16/2022,12/20/2022,12/19/2022,0.275,1.237,N/A
VictoryShares US Small Mid Cap Value Momentum ETF,USVM,12/16/2022,12/20/2022,12/19/2022,0.257,0.899,12/15/2022
VictoryShares US Value Momentum ETF,ULVM,12/16/2022,12/20/2022,12/19/2022,0.329,1.209,12/15/2022
Western Union Company (The),WU,12/16/2022,12/30/2022,12/19/2022,0.235,0.94,12/08/2022
"Academy Sports and Outdoors, Inc.",ASO,12/19/2022,01/13/2023,12/20/2022,0.075,0.3,12/06/2022
Amphenol Corporation,APH,12/19/2022,01/11/2023,12/20/2022,0.21,0.84,10/25/2022
Broadcom Inc.,AVGO,12/19/2022,12/30/2022,12/20/2022,4.6,18.4,12/08/2022
BRT Apartments Corp.,BRT,12/19/2022,01/05/2023,12/20/2022,0.25,1.0,12/06/2022
CBRE Global Real Estate Income Fund,IGR,12/19/2022,12/30/2022,12/20/2022,0.06,0.7,12/09/2022
Chemung Financial Corp,CHMG,12/19/2022,01/03/2023,12/20/2022,0.31,1.24,11/16/2022
"Dine Brands Global, Inc.",DIN,12/19/2022,01/06/2023,12/20/2022,0.51,2.04,12/02/2022
Destra Multi-Alternative Fund,DMA,12/19/2022,12/30/2022,12/20/2022,0.055,0.693,12/09/2022
Ecolab Inc.,ECL,12/19/2022,01/17/2023,12/20/2022,0.53,2.12,12/08/2022
Gladstone Capital Corporation,GLAD,12/19/2022,12/30/2022,12/20/2022,0.07,0.84,10/11/2022
Gladstone Commercial Corporation,GOOD,12/19/2022,12/30/2022,12/20/2022,0.125,1.505,10/11/2022
Gladstone Investment Corporation,GAIN,12/19/2022,12/30/2022,12/20/2022,0.08,0.96,10/11/2022
Gladstone Land Corporation,LAND,12/19/2022,12/30/2022,12/20/2022,0.046,0.55,10/11/2022
High Income Securities Fund,PCF,12/19/2022,12/30/2022,12/20/2022,0.073,0.876,10/11/2022
Invesco Agriculture Commodity Strategy No K-1 ETF,PDBA,12/19/2022,12/23/2022,12/20/2022,0.22,0.22,12/16/2022
Invesco Electric Vehicle Metals Commodity Strategy No K-1 ETF,EVMT,12/19/2022,12/23/2022,12/20/2022,0.212,0.212,12/16/2022
Invesco ESG NASDAQ Next Gen 100 ETF,QQJG,12/19/2022,12/23/2022,12/20/2022,0.044,0.125,12/16/2022
Invesco ESG NASDAQ 100 ETF,QQMG,12/19/2022,12/23/2022,12/20/2022,0.04,0.149,12/16/2022
Invesco High Yield Bond Factor ETF,IHYF,12/19/2022,12/23/2022,12/20/2022,0.14,1.297,12/16/2022
Invesco BLDRS Emerging Markets 50 ADR Index Fund,ADRE,12/19/2022,12/23/2022,12/20/2022,0.379,1.564,12/16/2022
"Invesco QQQ Trust, Series 1",QQQ,12/19/2022,12/23/2022,12/20/2022,0.655,2.135,12/16/2022
Invesco 1-30 Laddered Treasury ETF,PLW,12/19/2022,12/23/2022,12/20/2022,0.065,0.565,12/16/2022
Invesco BulletShares 2023 Corporate Bond ETF,BSCN,12/19/2022,12/23/2022,12/20/2022,0.037,0.316,12/16/2022
Invesco BulletShares 2023 USD Emerging Markets Debt ETF,BSCE,12/19/2022,12/23/2022,12/20/2022,0.068,0.542,12/16/2022
Invesco BulletShares 2023 High Yield Corporate Bond ETF,BSJN,12/19/2022,12/23/2022,12/20/2022,0.122,0.97,12/16/2022
Invesco BulletShares 2023 Municipal Bond ETF,BSMN,12/19/2022,12/23/2022,12/20/2022,0.034,0.227,12/16/2022
Invesco BulletShares 2024 Corporate Bond ETF,BSCO,12/19/2022,12/23/2022,12/20/2022,0.047,0.441,12/16/2022
Invesco BulletShares 2024 USD Emerging Markets Debt ETF,BSDE,12/19/2022,12/23/2022,12/20/2022,0.081,0.831,12/16/2022
Invesco BulletShares 2024 High Yield Corporate Bond ETF,BSJO,12/19/2022,12/23/2022,12/20/2022,0.121,1.082,12/16/2022
Invesco BulletShares 2024 Municipal Bond ETF,BSMO,12/19/2022,12/23/2022,12/20/2022,0.031,0.241,12/16/2022
Invesco BulletShares 2025 Corporate Bond ETF,BSCP,12/19/2022,12/23/2022,12/20/2022,0.049,0.451,12/16/2022
Invesco BulletShares 2025 Municipal Bond ETF,BSMP,12/19/2022,12/23/2022,12/20/2022,0.04,0.299,12/16/2022
Invesco BulletShares 2026 Corporate Bond ETF,BSCQ,12/19/2022,12/23/2022,12/20/2022,0.054,0.481,12/16/2022
Invesco BulletShares 2026 High Yield Corporate Bond ETF,BSJQ,12/19/2022,12/23/2022,12/20/2022,0.115,1.255,12/16/2022
Invesco BulletShares 2026 Municipal Bond ETF,BSMQ,12/19/2022,12/23/2022,12/20/2022,0.052,0.376,12/16/2022
Invesco BulletShares 2027 High Yield Corporate Bond ETF,BSJR,12/19/2022,12/23/2022,12/20/2022,0.094,1.147,12/16/2022
Invesco BulletShares 2027 Municipal Bond ETF,BSMR,12/19/2022,12/23/2022,12/20/2022,0.024,0.33,12/16/2022
Invesco BulletShares 2028 Corporate Bond ETF,BSCS,12/19/2022,12/23/2022,12/20/2022,0.061,0.534,12/16/2022
Invesco BulletShares 2028 High Yield Corporate Bond ETF,BSJS,12/19/2022,12/23/2022,12/20/2022,0.098,1.204,12/16/2022
Invesco BulletShares 2028 Municipal Bond ETF,BSMS,12/19/2022,12/23/2022,12/20/2022,0.041,0.362,12/16/2022
Invesco BulletShares 2029 Corporate Bond ETF,BSCT,12/19/2022,12/23/2022,12/20/2022,0.049,0.471,12/16/2022
Invesco BulletShares 2029 High Yield Corporate Bond ETF,BSJT,12/19/2022,12/23/2022,12/20/2022,0.056,0.677,12/16/2022
Invesco BulletShares 2029 Municipal Bond ETF,BSMT,12/19/2022,12/23/2022,12/20/2022,0.03,0.378,12/16/2022
Invesco BulletShares 2030 Corporate Bond ETF,BSCU,12/19/2022,12/23/2022,12/20/2022,0.054,0.488,12/16/2022
Invesco BulletShares 2030 High Yield Corporate Bond ETF,BSJU,12/19/2022,12/23/2022,12/20/2022,0.263,0.575,12/16/2022
Invesco BulletShares 2030 Municipal Bond ETF,BSMU,12/19/2022,12/23/2022,12/20/2022,0.04,0.467,12/16/2022
Invesco BulletShares 2031 Corporate Bond ETF,BSCV,12/19/2022,12/23/2022,12/20/2022,0.06,0.724,12/16/2022
Invesco BulletShares 2031 Municipal Bond ETF,BSMV,12/19/2022,12/23/2022,12/20/2022,0.043,0.513,12/16/2022
Invesco BulletShares 2032 Corporate Bond ETF,BSCW,12/19/2022,12/23/2022,12/20/2022,0.064,0.223,12/16/2022
Invesco BulletShares 2025 High Yield Corporate Bond ETF,BSJP,12/19/2022,12/23/2022,12/20/2022,0.125,1.186,12/16/2022
Invesco BulletShares 2027 Corporate Bond ETF,BSCR,12/19/2022,12/23/2022,12/20/2022,0.056,0.503,12/16/2022
Invesco BuyBack Achievers ETF,PKW,12/19/2022,12/23/2022,12/20/2022,0.274,1.046,12/16/2022
Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET,PDBC,12/19/2022,12/23/2022,12/20/2022,1.928,1.928,12/16/2022
Invesco Dividend Achievers ETF,PFM,12/19/2022,12/23/2022,12/20/2022,0.183,0.711,12/16/2022
Invesco DWA Basic Materials Momentum ETF,PYZ,12/19/2022,12/23/2022,12/20/2022,0.223,0.932,12/16/2022
Invesco DWA Consumer Cyclicals Momentum ETF,PEZ,12/19/2022,12/23/2022,12/20/2022,0.11,0.263,12/16/2022
Invesco DWA Consumer Staples Momentum ETF,PSL,12/19/2022,12/23/2022,12/20/2022,0.82,1.635,12/16/2022
Invesco DWA Energy Momentum ETF,PXI,12/19/2022,12/23/2022,12/20/2022,0.598,1.358,12/16/2022
Invesco DWA Financial Momentum ETF,PFI,12/19/2022,12/23/2022,12/20/2022,0.11,0.788,12/16/2022
Invesco DWA Industrials Momentum ETF,PRN,12/19/2022,12/23/2022,12/20/2022,0.296,0.704,12/16/2022
Invesco DWA Utilities Momentum ETF,PUI,12/19/2022,12/23/2022,12/20/2022,0.181,0.738,12/16/2022
Invesco DWA Developed Markets Momentum ETF,PIZ,12/19/2022,12/23/2022,12/20/2022,0.031,0.561,12/16/2022
Invesco DWA Emerging Markets Momentum ETF,PIE,12/19/2022,12/23/2022,12/20/2022,0.051,0.613,12/16/2022
Invesco DWA Momentum ETF,PDP,12/19/2022,12/23/2022,12/20/2022,0.239,0.322,12/16/2022
Invesco DWA SmallCap Momentum ETF,DWAS,12/19/2022,12/23/2022,12/20/2022,0.139,0.592,12/16/2022
Invesco FTSE RAFI US 1500 Small-Mid ETF,PRFZ,12/19/2022,12/23/2022,12/20/2022,0.502,2.102,12/16/2022
Invesco FTSE International Low Beta Equal Weight ETF,IDLB,12/19/2022,12/23/2022,12/20/2022,0.087,0.663,12/16/2022
Invesco Golden Dragon China ETF,PGJ,12/19/2022,12/23/2022,12/20/2022,0.083,0.228,12/16/2022
Invesco Global Water ETF,PIO,12/19/2022,12/23/2022,12/20/2022,0.072,0.334,12/16/2022
Invesco High Yield Equity Dividend Achievers ETF,PEY,12/19/2022,12/23/2022,12/20/2022,0.114,0.873,12/16/2022
Invesco International BuyBack Achievers ETF,IPKW,12/19/2022,12/23/2022,12/20/2022,0.086,1.26,12/16/2022
Invesco International Dividend Achievers ETF,PID,12/19/2022,12/23/2022,12/20/2022,0.079,0.551,12/16/2022
Invesco KBW High Dividend Yield Financial ETF,KBWD,12/19/2022,12/23/2022,12/20/2022,0.142,1.682,12/16/2022
Invesco KBW Property & Casualty Insurance ETF,KBWP,12/19/2022,12/23/2022,12/20/2022,0.488,1.715,12/16/2022
Invesco KBW Premium Yield Equity REIT ETF,KBWY,12/19/2022,12/23/2022,12/20/2022,0.121,1.445,12/16/2022
Invesco KBW Bank ETF,KBWB,12/19/2022,12/23/2022,12/20/2022,0.407,1.574,12/16/2022
Invesco KBW Regional Banking ETF,KBWR,12/19/2022,12/23/2022,12/20/2022,0.402,1.433,12/16/2022
Invesco NASDAQ 100 ETF,QQQM,12/19/2022,12/23/2022,12/20/2022,0.27,0.915,12/16/2022
Invesco Nasdaq Biotechnology ETF,IBBQ,12/19/2022,12/23/2022,12/20/2022,0.042,0.16,12/16/2022
Invesco NASDAQ Future Gen 200 ETF,QQQS,12/19/2022,12/23/2022,12/20/2022,0.011,0.011,12/16/2022
Invesco NASDAQ Next Gen 100 ETF,QQQJ,12/19/2022,12/23/2022,12/20/2022,0.077,0.181,12/16/2022
Invesco PHLX Semiconductor ETF,SOXQ,12/19/2022,12/23/2022,12/20/2022,0.067,0.271,12/16/2022
Invesco RAFI Strategic Developed ex-US ETF,ISDX,12/19/2022,12/23/2022,12/20/2022,0.082,0.913,12/16/2022
Invesco RAFI Strategic Emerging Markets ETF,ISEM,12/19/2022,12/23/2022,12/20/2022,0.078,1.342,12/16/2022
Invesco RAFI Strategic US ETF,IUS,12/19/2022,12/23/2022,12/20/2022,0.147,0.65,12/16/2022
Invesco RAFI Strategic US Small Company ETF,IUSS,12/19/2022,12/23/2022,12/20/2022,0.147,0.414,12/16/2022
Invesco Russell 1000 Low Beta Equal Weight ETF,USLB,12/19/2022,12/23/2022,12/20/2022,0.19,0.73,12/16/2022
Invesco S&P SmallCap Consumer Discretionary ETF,PSCD,12/19/2022,12/23/2022,12/20/2022,0.344,1.259,12/16/2022
Invesco S&P SmallCap Consumer Staples ETF,PSCC,12/19/2022,12/23/2022,12/20/2022,0.34,1.31,12/16/2022
Invesco S&P SmallCap Energy ETF,PSCE,12/19/2022,12/23/2022,12/20/2022,0.068,0.173,12/16/2022
Invesco S&P SmallCap Financials ETF,PSCF,12/19/2022,12/23/2022,12/20/2022,0.051,1.41,12/16/2022
Invesco S&P SmallCap Industrials ETF,PSCI,12/19/2022,12/23/2022,12/20/2022,0.279,0.77,12/16/2022
Invesco S&P SmallCap Materials ETF,PSCM,12/19/2022,12/23/2022,12/20/2022,0.18,0.577,12/16/2022
Invesco S&P SmallCap Utilities & Communication Services ETF,PSCU,12/19/2022,12/23/2022,12/20/2022,0.262,0.922,12/16/2022
Invesco Variable Rate Investment Grade ETF,VRIG,12/19/2022,12/23/2022,12/20/2022,0.123,0.59,12/16/2022
Invesco Water Resources ETF,PHO,12/19/2022,12/23/2022,12/20/2022,0.133,0.25,12/16/2022
Kaman Corporation,KAMN,12/19/2022,01/12/2023,12/20/2022,0.2,0.8,11/14/2022
"Kimball International, Inc.",KBAL,12/19/2022,01/13/2023,12/20/2022,0.09,0.36,10/20/2022
Main Street Capital Corporation,MAIN,12/19/2022,12/28/2022,12/20/2022,0.1,2.64,11/01/2022
MEDIFAST INC,MED,12/19/2022,02/07/2023,12/20/2022,1.64,6.56,12/08/2022
Medigus Ltd.,MDGS,12/19/2022,12/28/2022,12/20/2022,0.8,0.8,12/08/2022
Newtek Business Services Corp.,NEWT,12/19/2022,12/30/2022,12/20/2022,0.7,2.8,11/17/2022
Nordson Corporation,NDSN,12/19/2022,01/03/2023,12/20/2022,0.65,2.6,12/07/2022
"One Liberty Properties, Inc.",OLP,12/19/2022,01/05/2023,12/20/2022,0.45,1.8,12/07/2022
"Redwood Trust, Inc.",RWT,12/19/2022,12/28/2022,12/20/2022,0.23,0.92,12/08/2022
Rent-A-Center Inc.,RCII,12/19/2022,01/10/2023,12/20/2022,0.34,1.36,12/07/2022
RPT Realty,RPT,12/19/2022,01/03/2023,12/20/2022,0.13,0.52,10/27/2022
Royce Quant Small-Cap Quality Value ETF,SQLV,12/19/2022,12/22/2022,12/20/2022,0.144,0.425,12/15/2021
"Smith & Wesson Brands, Inc.",SWBI,12/19/2022,01/03/2023,12/20/2022,0.1,0.4,12/06/2022
Suzano S.A.,SUZ,12/19/2022,01/09/2023,12/20/2022,0.323,1.292,12/05/2022
"Swiss Helvetia Fund, Inc. (The)",SWZ,12/19/2022,12/30/2022,12/20/2022,0.123,0.622,12/09/2022
Virginia National Bankshares Corporation,VABK,12/19/2022,12/30/2022,12/20/2022,0.3,1.2,12/07/2022
VanEck Biotech ETF,BBH,12/19/2022,12/23/2022,12/20/2022,0.749,0.749,12/16/2022
VanEck Gaming ETF,BJK,12/19/2022,12/23/2022,12/20/2022,0.168,0.168,12/16/2022
VanEck Green Infrastructure ETF,RNEW,12/19/2022,12/23/2022,12/20/2022,0.06,0.06,12/16/2022
VanEck Retail ETF,RTH,12/19/2022,12/23/2022,12/20/2022,1.845,1.845,12/16/2022
VanEck Semiconductor ETF,SMH,12/19/2022,12/23/2022,12/20/2022,2.401,2.401,12/16/2022
Vanguard Global ex-U.S. Real Estate ETF,VNQI,12/19/2022,12/22/2022,12/20/2022,0.235,0.235,12/15/2022
Vanguard International Dividend Appreciation ETF,VIGI,12/19/2022,12/22/2022,12/20/2022,0.443,1.434,12/15/2022
Vanguard International High Dividend Yield ETF,VYMI,12/19/2022,12/22/2022,12/20/2022,0.668,2.802,12/15/2022
Vanguard Total International Stock ETF,VXUS,12/19/2022,12/22/2022,12/20/2022,0.629,1.599,12/15/2022
VanEck Video Gaming and eSports ETF,ESPO,12/19/2022,12/23/2022,12/20/2022,0.392,0.392,12/16/2022
Vistra Corp.,VST,12/19/2022,12/29/2022,12/20/2022,0.193,0.772,10/31/2022
Ambev S.A.,ABEV,12/20/2022,N/A,N/A,0.124,0.124,N/A
Apollo Senior Floating Rate Fund Inc.,AFT,12/20/2022,12/30/2022,12/21/2022,0.108,1.179,12/07/2022
Apollo Tactical Income Fund Inc.,AIF,12/20/2022,12/30/2022,12/21/2022,0.122,1.266,12/07/2022
Bank First Corporation,BFC,12/20/2022,01/04/2023,12/21/2022,0.25,1.0,10/18/2022
Babson Global Short Duration High Yield Fund,BGH,12/20/2022,01/03/2023,12/21/2022,0.106,1.373,10/12/2022
CSP Inc.,CSPI,12/20/2022,01/06/2023,12/21/2022,0.03,0.12,12/06/2022
Direxion Daily AAPL Bull 1.5X Shares,AAPU,12/20/2022,12/28/2022,12/21/2022,0.121,0.131,12/19/2022
Direxion Daily AAPL Bear 1X Shares,AAPD,12/20/2022,12/28/2022,12/21/2022,0.127,0.153,12/19/2022
Direxion Daily AMZN Bull 1.5X Shares,AMZU,12/20/2022,12/28/2022,12/21/2022,0.058,0.064,12/19/2022
Direxion Daily AMZN Bear 1X Shares,AMZD,12/20/2022,12/28/2022,12/21/2022,0.141,0.844,12/19/2022
Direxion Daily GOOGL Bull 1.5X Shares,GGLL,12/20/2022,12/28/2022,12/21/2022,0.1,0.106,12/19/2022
Direxion Daily GOOGL Bear 1X Shares,GGLS,12/20/2022,12/28/2022,12/21/2022,0.048,0.058,12/19/2022
Direxion Daily MSFT Bull 1.5X Shares,MSFU,12/20/2022,12/28/2022,12/21/2022,0.113,0.119,12/19/2022
Direxion Daily MSFT Bear 1X Shares,MSFD,12/20/2022,12/28/2022,12/21/2022,0.162,0.187,12/19/2022
Direxion Daily TSLA Bull 1.5X Shares,TSLL,12/20/2022,12/28/2022,12/21/2022,0.048,0.098,12/19/2022
Direxion Daily TSLA Bear 1X Shares,TSLS,12/20/2022,12/28/2022,12/21/2022,0.056,1.699,12/19/2022
Ituran Location and Control Ltd.,ITRN,12/20/2022,01/04/2023,12/21/2022,0.105,0.42,11/21/2022
Janus Henderson Small/Mid Cap Growth Alpha ETF,JSMD,12/20/2022,12/27/2022,12/21/2022,0.084,0.207,12/19/2022
Janus Henderson Small Cap Growth Alpha ETF,JSML,12/20/2022,12/27/2022,12/21/2022,0.195,0.306,12/19/2022
JPMorgan Social Advancement ETF,UPWD,12/20/2022,12/23/2022,12/21/2022,0.268,0.268,12/19/2022
JPMorgan Sustainable Consumption ETF,CIRC,12/20/2022,12/23/2022,12/21/2022,0.196,0.196,12/19/2022
JPMorgan Sustainable Infrastructure ETF,BLLD,12/20/2022,12/23/2022,12/21/2022,0.339,0.339,12/19/2022
Korn Ferry ,KFY,12/20/2022,01/13/2023,12/21/2022,0.15,0.6,12/07/2022
Medtronic plc,MDT,12/20/2022,01/13/2023,12/21/2022,0.68,2.72,12/08/2022
Mercer International Inc.,MERC,12/20/2022,12/29/2022,12/21/2022,0.075,0.3,10/27/2022
Omnicom Group Inc.,OMC,12/20/2022,01/11/2023,12/21/2022,0.7,2.8,12/08/2022
PotlatchDeltic Corporation,PCH,12/20/2022,12/30/2022,12/21/2022,0.95,1.8,12/02/2022
Restaurant Brands International Inc.,QSR,12/20/2022,01/04/2023,12/21/2022,0.54,2.16,11/03/2022
"Saga Communications, Inc.",SGA,12/20/2022,01/13/2023,12/21/2022,2.25,1.0,12/07/2022
Seagate Technology Holdings PLC,STX,12/20/2022,01/05/2023,12/21/2022,0.7,2.8,10/26/2022
"Tootsie Roll Industries, Inc.",TR,12/20/2022,01/11/2023,12/21/2022,0.09,0.36,12/06/2022
Virtus Terranova U.S. Quality Momentum ETF,JOET,12/20/2022,12/29/2022,12/21/2022,0.334,0.334,12/19/2022
"WhiteHorse Finance, Inc.",WHF,12/20/2022,01/04/2023,12/21/2022,0.355,1.42,11/14/2022
Altria Group,MO,12/21/2022,01/10/2023,12/22/2022,0.94,3.76,12/07/2022
BrandywineGLOBAL Global Income Opportunities Fund ,BWG,12/21/2022,12/30/2022,12/22/2022,0.09,1.17,11/14/2022
Blackstone Long Short Credit Income Fund,BGX,12/21/2022,12/30/2022,12/22/2022,0.095,1.04,12/12/2022
Blackstone Senior Floating Rate Term Fund,BSL,12/21/2022,12/30/2022,12/22/2022,0.1,1.006,12/12/2022
Blackstone Strategic Credit Fund,BGB,12/21/2022,12/30/2022,12/22/2022,0.085,0.91,12/12/2022
"Caleres, Inc.",CAL,12/21/2022,01/06/2023,12/22/2022,0.07,0.28,12/08/2022
Carrier Global Corporation,CARR,12/21/2022,02/10/2023,12/22/2022,0.185,0.74,12/07/2022
Delaware Enhanced Global Dividend,DEX,12/21/2022,12/30/2022,12/22/2022,0.048,0.742,12/06/2022
Elme Communities,ELME,12/21/2022,01/05/2023,12/22/2022,0.17,0.68,10/27/2022
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,DFP,12/21/2022,12/30/2022,12/22/2022,0.391,2.134,12/09/2022
Flaherty & Crumrine Preferred and Income Securitie,FFC,12/21/2022,12/30/2022,12/22/2022,0.1,1.495,12/09/2022
Flaherty & Crumrine Total Return Fund Inc,FLC,12/21/2022,12/30/2022,12/22/2022,0.104,1.542,12/09/2022
Flaherty & Crumrine Preferred and Income Fund Inco,PFD,12/21/2022,12/30/2022,12/22/2022,0.061,0.97,12/09/2022
Getty Realty Corporation,GTY,12/21/2022,01/05/2023,12/22/2022,0.43,1.72,10/25/2022
Global Medical REIT Inc.,GMRE,12/21/2022,01/09/2023,12/22/2022,0.21,0.84,12/07/2022
Insight Select Income Fund,INSI,12/21/2022,12/29/2022,12/22/2022,0.24,0.78,12/08/2022
"Kulicke and Soffa Industries, Inc.",KLIC,12/21/2022,01/09/2023,12/22/2022,0.19,0.76,11/16/2022
LMP Capital and Income Fund Inc.,SCD,12/21/2022,12/30/2022,12/22/2022,0.26,1.82,11/14/2022
"LTC Properties, Inc.",LTC,12/21/2022,12/30/2022,12/22/2022,0.19,2.28,10/03/2022
Miller/Howard High Income Equity Fund,HIE,12/21/2022,12/30/2022,12/22/2022,0.051,0.633,09/13/2022
Marriott Vacations Worldwide Corporation,VAC,12/21/2022,01/05/2023,12/22/2022,0.72,2.88,12/01/2022
Philip Morris International Inc,PM,12/21/2022,01/11/2023,12/22/2022,1.27,5.08,12/08/2022
ProAssurance Corporation,PRA,12/21/2022,01/10/2023,12/22/2022,0.05,0.2,11/30/2022
Sempra ,SRE,12/21/2022,01/15/2023,12/22/2022,1.145,4.58,11/16/2022
SLR Investment Corp.,SLRC,12/21/2022,01/05/2023,12/22/2022,0.137,1.64,12/06/2022
STF Tactical Growth & Income ETF,TUGN,12/21/2022,12/23/2022,12/22/2022,0.193,1.439,12/20/2022
STF Tactical Growth ETF,TUG,12/21/2022,12/23/2022,12/22/2022,0.143,0.246,12/20/2022
TriplePoint Venture Growth BDC Corp.,TPVG,12/21/2022,12/30/2022,12/22/2022,0.1,1.48,N/A
VICI Properties Inc.,VICI,12/21/2022,01/05/2023,12/22/2022,0.39,1.56,12/08/2022
Western Asset Diversified Income Fund,WDI,12/21/2022,12/30/2022,12/22/2022,0.128,1.565,11/14/2022
Western Asset Intermediate Muni Fund Inc,SBI,12/21/2022,12/30/2022,12/22/2022,0.023,0.305,11/14/2022
Western Asset Emerging Markets Debt Fund Inc,EMD,12/21/2022,12/30/2022,12/22/2022,0.08,1.1,11/14/2022
"Western Asset High Income Opportunity Fund, Inc.",HIO,12/21/2022,12/30/2022,12/22/2022,0.03,0.39,11/14/2022
"Western Asset Managed Municipals Fund, Inc.",MMU,12/21/2022,12/30/2022,12/22/2022,0.036,0.509,11/14/2022
Western Asset Mortgage Opportunity Fund Inc.,DMO,12/21/2022,12/30/2022,12/22/2022,0.1,1.353,11/14/2022
Western Asset Global High Income Fund Inc,EHI,12/21/2022,12/30/2022,12/22/2022,0.067,0.871,11/14/2022
Western Asset Global Corporate Defined Opportunity Fund Inc.,GDO,12/21/2022,12/30/2022,12/22/2022,0.101,1.313,11/14/2022
Western Asset High Income Fund II Inc.,HIX,12/21/2022,12/30/2022,12/22/2022,0.049,0.637,11/14/2022
Western Asset High Yield Defined Opportunity Fund Inc.,HYI,12/21/2022,12/30/2022,12/22/2022,0.094,1.228,11/14/2022
Western Asset Investment Grade Defined Opportunity Trust Inc.,IGI,12/21/2022,12/30/2022,12/22/2022,0.067,0.865,11/14/2022
Western Asset Bond Fund,WEA,12/21/2022,12/30/2022,12/22/2022,0.066,0.858,11/28/2022
Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,WIA,12/21/2022,12/30/2022,12/22/2022,0.27,0.554,11/28/2022
Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2,WIW,12/21/2022,12/30/2022,12/22/2022,0.241,0.682,11/28/2022
Alerus Financial Corporation,ALRS,12/22/2022,01/13/2023,12/23/2022,0.18,0.72,11/03/2022
"Alexander & Baldwin, Inc.",ALEX,12/22/2022,01/06/2023,12/23/2022,0.22,0.88,12/12/2022
Arcos Dorados Holdings Inc.,ARCO,12/22/2022,12/30/2022,12/26/2022,0.03,0.12,03/15/2022
Bank7 Corp.,BSVN,12/22/2022,01/05/2023,12/23/2022,0.16,0.64,11/18/2022
"Betterware de Mexico, S.A.P.I. de C.V.",BWMX,12/22/2022,12/27/2022,12/25/2022,0.061,0.243,12/09/2022
British American Tobacco p.l.c.,BTI,12/22/2022,02/06/2023,12/23/2022,0.735,2.942,02/11/2022
Cato Corporation (The),CATO,12/22/2022,01/03/2023,12/23/2022,0.17,0.68,11/18/2022
"Compania Cervecerias Unidas, S.A.",CCU,12/22/2022,01/13/2023,12/23/2022,0.193,0.486,12/08/2022
Delaware Ivy High Income Opportunities Fund,IVH,12/22/2022,12/30/2022,12/23/2022,0.093,0.9,12/01/2022
"Dynex Capital, Inc.",DX,12/22/2022,01/03/2023,12/23/2022,0.13,1.56,12/13/2022
Eagle Point Credit Company Inc.,ECC,12/22/2022,01/24/2023,12/23/2022,0.5,1.62,11/14/2022
Eaton Vance Enhance Equity Income Fund,EOI,12/22/2022,12/30/2022,12/23/2022,0.109,1.314,12/01/2022
Eaton Vance Floating Rate Income Trust,EFT,12/22/2022,12/30/2022,12/23/2022,0.078,0.932,12/01/2022
Eaton Vance Tax Advantaged Dividend Income Fund,EVT,12/22/2022,12/30/2022,12/23/2022,0.149,1.924,12/01/2022
Eaton Vance Risk-Managed Diversified Equity Income Fund,ETJ,12/22/2022,12/30/2022,12/23/2022,0.058,0.876,12/01/2022
Eaton Vance Tax-Managed Diversified Equity Income Fund,ETY,12/22/2022,12/30/2022,12/23/2022,0.08,1.09,12/01/2022
Eaton Vance Enhanced Equity Income Fund II,EOS,12/22/2022,12/30/2022,12/23/2022,0.115,1.603,12/01/2022
Eaton Vance Municipal Income 2028 Term Trust,ETX,12/22/2022,12/30/2022,12/23/2022,0.062,0.823,12/01/2022
Eaton Vance Municipal Income Trust,EOT,12/22/2022,12/30/2022,12/23/2022,0.063,0.75,12/01/2022
Eaton Vance Short Diversified Income Fund,EVG,12/22/2022,12/30/2022,12/23/2022,0.09,1.155,12/01/2022
Eaton Vance Senior Floating-Rate Fund,EFR,12/22/2022,12/30/2022,12/23/2022,0.081,0.975,12/01/2022
Eaton Vance Tax-Advantage Global Dividend Opp,ETO,12/22/2022,12/30/2022,12/23/2022,0.137,2.067,12/01/2022
